date,province,confirmed,released,deceased
4월26일,경기도,6,15,0
4월27일,경기도,3,7,0
4월28일,경기도,3,5,0
4월29일,경기도,2,6,1
4월30일,경기도,0,5,0
5월1일,경기도,2,2,1
5월2일,경기도,0,10,0
5월3일,경기도,2,12,0
5월4일,경기도,1,5,0
5월5일,경기도,0,3,0
5월6일,경기도,0,7,0
5월7일,경기도,1,13,0
5월8일,경기도,2,0,0
5월9일,경기도,4,10,0
5월10일,경기도,6,8,0
5월11일,경기도,4,1,0
5월12일,경기도,8,2,0
5월13일,경기도,2,4,0
5월14일,경기도,6,14,0
5월15일,경기도,3,6,0
5월16일,경기도,4,4,0
5월17일,경기도,0,11,0
5월18일,경기도,3,2,0
5월19일,경기도,1,2,0
5월20일,경기도,10,9,0
5월21일,경기도,0,20,1
5월22일,경기도,6,2,0
5월23일,경기도,13,3,1
5월24일,경기도,6,7,0
5월25일,경기도,6,1,1
5월26일,경기도,2,1,0
5월27일,경기도,6,1,0
5월28일,경기도,21,0,0
5월29일,경기도,20,1,0
5월30일,경기도,13,1,0
5월31일,경기도,12,2,0
6월1일,경기도,12,7,0
6월2일,경기도,15,3,0
6월3일,경기도,12,2,0
6월4일,경기도,15,3,0
6월5일,경기도,13,0,0
6월6일,경기도,8,8,0
6월7일,경기도,19,5,0
6월8일,경기도,8,2,0
6월9일,경기도,13,0,1
6월10일,경기도,21,2,2
6월11일,경기도,16,9,0
6월12일,경기도,19,1,0
6월13일,경기도,14,4,0
6월14일,경기도,10,14,0
6월15일,경기도,10,3,0
6월16일,경기도,5,3,0
6월17일,경기도,13,4,0
6월18일,경기도,16,4,0
6월19일,경기도,11,13,0
6월20일,경기도,17,4,0
6월21일,경기도,10,3,0
6월22일,경기도,6,9,0
6월23일,경기도,7,5,1
6월24일,경기도,7,3,0
6월25일,경기도,9,16,0
6월26일,경기도,4,37,0
6월27일,경기도,17,44,-1
6월28일,경기도,17,15,1
6월29일,경기도,16,15,0
6월30일,경기도,7,43,0
1월20일,경상남도,0,0,0
1월21일,경상남도,0,0,0
1월22일,경상남도,0,0,0
1월23일,경상남도,0,0,0
1월24일,경상남도,0,0,0
1월25일,경상남도,0,0,0
1월26일,경상남도,0,0,0
1월27일,경상남도,0,0,0
1월28일,경상남도,0,0,0
1월29일,경상남도,0,0,0
1월30일,경상남도,0,0,0
1월31일,경상남도,0,0,0
2월1일,경상남도,0,0,0
2월2일,경상남도,0,0,0
2월3일,경상남도,0,0,0
2월4일,경상남도,0,0,0
2월5일,경상남도,0,0,0
2월6일,경상남도,0,0,0
2월7일,경상남도,0,0,0
2월8일,경상남도,0,0,0
2월9일,경상남도,0,0,0
2월10일,경상남도,0,0,0
2월11일,경상남도,0,0,0
2월12일,경상남도,0,0,0
2월13일,경상남도,0,0,0
2월14일,경상남도,0,0,0
2월15일,경상남도,0,0,0
2월16일,경상남도,0,0,0
2월17일,경상남도,0,0,0
2월18일,경상남도,0,0,0
2월19일,경상남도,3,0,0
2월20일,경상남도,0,0,0
2월21일,경상남도,4,0,0
2월22일,경상남도,0,0,0
2월23일,경상남도,10,0,0
2월24일,경상남도,3,0,0
2월25일,경상남도,3,0,0
2월26일,경상남도,11,0,0
2월27일,경상남도,9,0,0
2월28일,경상남도,6,1,0
2월29일,경상남도,10,0,0
3월1일,경상남도,4,0,0
3월2일,경상남도,1,0,0
3월3일,경상남도,0,0,0
3월4일,경상남도,1,1,0
3월5일,경상남도,9,1,0
3월6일,경상남도,3,1,0
3월7일,경상남도,5,0,0
3월8일,경상남도,1,0,0
3월9일,경상남도,0,5,0
3월10일,경상남도,0,1,0
3월11일,경상남도,1,0,0
3월12일,경상남도,1,0,0
3월13일,경상남도,0,1,0
3월14일,경상남도,0,0,0
3월15일,경상남도,0,5,0
3월16일,경상남도,0,4,0
3월17일,경상남도,1,2,0
3월18일,경상남도,0,1,0
3월19일,경상남도,0,6,0
3월20일,경상남도,1,4,0
3월21일,경상남도,0,7,0
3월22일,경상남도,1,2,0
3월23일,경상남도,1,3,0
3월24일,경상남도,1,3,0
3월25일,경상남도,0,3,0
3월26일,경상남도,0,6,0
3월27일,경상남도,1,5,0
3월28일,경상남도,0,1,0
3월29일,경상남도,3,1,0
3월30일,경상남도,1,1,0
3월31일,경상남도,1,2,0
4월1일,경상남도,4,0,0
4월2일,경상남도,6,3,0
4월3일,경상남도,1,1,0
4월4일,경상남도,1,4,0
4월5일,경상남도,1,2,0
4월6일,경상남도,2,3,0
4월7일,경상남도,1,0,0
4월8일,경상남도,1,0,0
4월9일,경상남도,2,2,0
4월10일,경상남도,0,0,0
4월11일,경상남도,0,1,0
4월12일,경상남도,0,1,0
4월13일,경상남도,0,0,0
4월14일,경상남도,0,0,0
4월15일,경상남도,0,0,0
4월16일,경상남도,0,-2,0
4월17일,경상남도,0,2,0
4월18일,경상남도,1,0,0
4월19일,경상남도,0,1,0
4월20일,경상남도,0,2,0
4월21일,경상남도,0,1,0
4월22일,경상남도,1,1,0
4월23일,경상남도,0,0,0
4월24일,경상남도,0,2,0
4월25일,경상남도,0,0,0
4월26일,경상남도,0,2,0
4월27일,경상남도,0,1,0
4월28일,경상남도,0,3,0
4월29일,경상남도,0,0,0
4월30일,경상남도,0,0,0
5월1일,경상남도,0,1,0
5월2일,경상남도,0,1,0
5월3일,경상남도,0,1,0
5월4일,경상남도,0,1,0
5월5일,경상남도,0,1,0
5월6일,경상남도,0,2,0
5월7일,경상남도,0,1,0
5월8일,경상남도,0,0,0
5월9일,경상남도,0,2,0
5월10일,경상남도,0,1,0
5월11일,경상남도,0,2,0
5월12일,경상남도,1,2,0
5월13일,경상남도,1,1,0
5월14일,경상남도,0,1,0
5월15일,경상남도,0,1,0
5월16일,경상남도,0,1,0
5월17일,경상남도,2,0,0
5월18일,경상남도,0,0,0
5월19일,경상남도,0,-1,0
5월20일,경상남도,0,2,0
5월21일,경상남도,0,0,0
5월22일,경상남도,1,0,0
5월23일,경상남도,1,0,0
5월24일,경상남도,0,0,0
5월25일,경상남도,0,2,0
5월26일,경상남도,0,0,0
5월27일,경상남도,0,0,0
5월28일,경상남도,0,0,0
5월29일,경상남도,0,0,0
5월30일,경상남도,0,1,0
5월31일,경상남도,0,1,0
6월1일,경상남도,0,0,0
6월2일,경상남도,0,0,0
6월3일,경상남도,0,0,0
6월4일,경상남도,0,0,0
6월5일,경상남도,0,0,0
6월6일,경상남도,1,1,0
6월7일,경상남도,0,0,0
6월8일,경상남도,0,0,0
6월9일,경상남도,1,1,0
6월10일,경상남도,2,0,0
6월11일,경상남도,0,0,0
6월12일,경상남도,0,0,0
6월13일,경상남도,0,0,0
6월14일,경상남도,0,0,0
6월15일,경상남도,3,1,0
6월16일,경상남도,2,0,0
6월17일,경상남도,0,0,0
6월18일,경상남도,0,0,0
6월19일,경상남도,0,0,0
6월20일,경상남도,0,0,0
6월21일,경상남도,1,0,0
6월22일,경상남도,0,0,0
6월23일,경상남도,0,0,0
6월24일,경상남도,0,0,0
6월25일,경상남도,0,1,0
6월26일,경상남도,0,0,0
6월27일,경상남도,0,3,0
6월28일,경상남도,0,0,0
6월29일,경상남도,1,0,0
6월30일,경상남도,0,0,0
1월20일,경상북도,0,0,0
1월21일,경상북도,0,0,0
1월22일,경상북도,0,0,0
1월23일,경상북도,0,0,0
1월24일,경상북도,0,0,0
1월25일,경상북도,0,0,0
1월26일,경상북도,0,0,0
1월27일,경상북도,0,0,0
1월28일,경상북도,0,0,0
1월29일,경상북도,0,0,0
1월30일,경상북도,0,0,0
1월31일,경상북도,0,0,0
2월1일,경상북도,0,0,0
2월2일,경상북도,0,0,0
2월3일,경상북도,0,0,0
2월4일,경상북도,0,0,0
2월5일,경상북도,0,0,0
2월6일,경상북도,0,0,0
2월7일,경상북도,0,0,0
2월8일,경상북도,0,0,0
2월9일,경상북도,0,1,0
2월10일,경상북도,0,0,0
2월11일,경상북도,0,0,0
2월12일,경상북도,0,0,0
2월13일,경상북도,0,0,0
2월14일,경상북도,0,0,0
2월15일,경상북도,0,0,0
2월16일,경상북도,0,0,0
2월17일,경상북도,0,0,0
2월18일,경상북도,0,0,0
2월19일,경상북도,2,0,0
2월20일,경상북도,23,0,1
2월21일,경상북도,3,0,0
2월22일,경상북도,117,0,2
2월23일,경상북도,25,0,0
2월24일,경상북도,23,0,3
2월25일,경상북도,56,0,0
2월26일,경상북도,68,0,0
2월27일,경상북도,28,0,0
2월28일,경상북도,64,0,0
2월29일,경상북도,79,0,0
3월1일,경상북도,68,0,0
3월2일,경상북도,68,0,0
3월3일,경상북도,61,0,0
3월4일,경상북도,89,3,0
3월5일,경상북도,87,19,0
3월6일,경상북도,123,13,4
3월7일,경상북도,65,5,0
3월8일,경상북도,33,1,3
3월9일,경상북도,25,15,1
3월10일,경상북도,10,3,0
3월11일,경상북도,18,9,0
3월12일,경상북도,8,14,2
3월13일,경상북도,4,20,0
3월14일,경상북도,6,35,1
3월15일,경상북도,4,25,0
3월16일,경상북도,7,15,0
3월17일,경상북도,5,31,2
3월18일,경상북도,9,26,2
3월19일,경상북도,12,40,0
3월20일,경상북도,13,65,1
3월21일,경상북도,40,55,2
3월22일,경상북도,11,37,0
3월23일,경상북도,2,37,0
3월24일,경상북도,1,38,2
3월25일,경상북도,5,31,2
3월26일,경상북도,12,63,2
3월27일,경상북도,9,49,4
3월28일,경상북도,2,42,1
3월29일,경상북도,2,40,2
3월30일,경상북도,11,40,1
3월31일,경상북도,2,36,0
4월1일,경상북도,2,14,1
4월2일,경상북도,2,18,2
4월3일,경상북도,5,25,1
4월4일,경상북도,1,16,2
4월5일,경상북도,4,18,0
4월6일,경상북도,2,23,1
4월7일,경상북도,1,12,1
4월8일,경상북도,3,20,0
4월9일,경상북도,0,14,1
4월10일,경상북도,7,26,1
4월11일,경상북도,3,10,0
4월12일,경상북도,3,9,1
4월13일,경상북도,4,7,1
4월14일,경상북도,5,9,0
4월15일,경상북도,6,6,0
4월16일,경상북도,4,9,0
4월17일,경상북도,4,-7,0
4월18일,경상북도,2,9,1
4월19일,경상북도,1,11,0
4월20일,경상북도,2,7,0
4월21일,경상북도,0,8,0
4월22일,경상북도,2,7,0
4월23일,경상북도,0,12,1
4월24일,경상북도,1,6,0
4월25일,경상북도,0,7,0
4월26일,경상북도,0,5,0
4월27일,경상북도,0,5,0
4월28일,경상북도,1,5,0
4월29일,경상북도,0,14,0
4월30일,경상북도,0,14,0
5월1일,경상북도,1,2,0
5월2일,경상북도,0,5,0
5월3일,경상북도,0,11,0
5월4일,경상북도,0,8,1
5월5일,경상북도,0,13,0
5월6일,경상북도,0,4,0
5월7일,경상북도,0,8,0
5월8일,경상북도,0,8,0
5월9일,경상북도,0,9,0
5월10일,경상북도,0,5,0
5월11일,경상북도,0,8,0
5월12일,경상북도,1,2,1
5월13일,경상북도,0,1,0
5월14일,경상북도,1,6,0
5월15일,경상북도,0,8,0
5월16일,경상북도,0,8,0
5월17일,경상북도,0,1,0
5월18일,경상북도,0,3,0
5월19일,경상북도,0,4,0
5월20일,경상북도,0,10,0
5월21일,경상북도,0,1,0
5월22일,경상북도,2,4,0
5월23일,경상북도,0,2,0
5월24일,경상북도,6,3,0
5월25일,경상북도,1,4,0
5월26일,경상북도,1,1,0
5월27일,경상북도,0,1,0
5월28일,경상북도,1,4,0
5월29일,경상북도,0,2,0
5월30일,경상북도,0,1,0
5월31일,경상북도,0,1,0
6월1일,경상북도,0,1,0
6월2일,경상북도,0,1,0
6월3일,경상북도,0,1,0
6월4일,경상북도,1,3,0
6월5일,경상북도,2,1,0
6월6일,경상북도,1,1,0
6월7일,경상북도,0,1,0
6월8일,경상북도,0,5,0
6월9일,경상북도,0,1,0
6월10일,경상북도,0,0,0
6월11일,경상북도,0,2,0
6월12일,경상북도,0,0,0
6월13일,경상북도,0,0,0
6월14일,경상북도,0,1,0
6월15일,경상북도,0,0,0
6월16일,경상북도,0,0,0
6월17일,경상북도,0,0,0
6월18일,경상북도,0,3,0
6월19일,경상북도,0,1,0
6월20일,경상북도,1,2,0
6월21일,경상북도,0,1,0
6월22일,경상북도,1,0,0
6월23일,경상북도,0,1,0
6월24일,경상북도,1,0,0
6월25일,경상북도,0,0,0
6월26일,경상북도,1,6,0
6월27일,경상북도,0,1,0
6월28일,경상북도,0,0,0
6월29일,경상북도,1,0,0
6월30일,경상북도,1,0,0
1월20일,광주,0,0,0
1월21일,광주,0,0,0
1월22일,광주,0,0,0
1월23일,광주,0,0,0
1월24일,광주,0,0,0
1월25일,광주,0,0,0
1월26일,광주,0,0,0
1월27일,광주,0,0,0
1월28일,광주,0,0,0
1월29일,광주,0,0,0
1월30일,광주,0,0,0
1월31일,광주,0,0,0
2월1일,광주,0,0,0
2월2일,광주,0,0,0
2월3일,광주,0,0,0
2월4일,광주,1,0,0
2월5일,광주,0,0,0
2월6일,광주,0,0,0
2월7일,광주,0,0,0
